fichier,n chiffres,nb de sequences
carree_1M.txt,110,999891
1 million de pi.txt,111,999891
carree_1M.txt,111,999890
1 million de pi.txt,112,999890
carree_1M.txt,112,999889
1 million de pi.txt,113,999889
carree_1M.txt,113,999888
1 million de pi.txt,114,999888
carree_1M.txt,114,999887
1 million de pi.txt,115,999887
carree_1M.txt,115,999886
1 million de pi.txt,116,999886
carree_1M.txt,116,999885
1 million de pi.txt,117,999885
carree_1M.txt,117,999884
1 million de pi.txt,118,999884
carree_1M.txt,118,999883
1 million de pi.txt,119,999883
carree_1M.txt,119,999882
1 million de pi.txt,120,999882
carree_1M.txt,120,999881
1 million de pi.txt,121,999881
carree_1M.txt,121,999880
1 million de pi.txt,122,999880
carree_1M.txt,122,999879
1 million de pi.txt,123,999879
carree_1M.txt,123,999878
1 million de pi.txt,124,999878
carree_1M.txt,124,999877
1 million de pi.txt,125,999877
carree_1M.txt,125,999876
1 million de pi.txt,126,999876
carree_1M.txt,126,999875
1 million de pi.txt,127,999875
carree_1M.txt,127,999874
1 million de pi.txt,128,999874
carree_1M.txt,128,999873
1 million de pi.txt,129,999873
carree_1M.txt,129,999872
1 million de pi.txt,130,999872
carree_1M.txt,130,999871
1 million de pi.txt,131,999871
carree_1M.txt,131,999870
1 million de pi.txt,132,999870
carree_1M.txt,132,999869
1 million de pi.txt,133,999869
carree_1M.txt,133,999868
1 million de pi.txt,134,999868
carree_1M.txt,134,999867
1 million de pi.txt,135,999867
carree_1M.txt,135,999866
1 million de pi.txt,136,999866
carree_1M.txt,136,999865
1 million de pi.txt,137,999865
carree_1M.txt,137,999864
1 million de pi.txt,138,999864
carree_1M.txt,138,999863
1 million de pi.txt,139,999863
carree_1M.txt,139,999862
1 million de pi.txt,140,999862
carree_1M.txt,140,999861
1 million de pi.txt,141,999861
carree_1M.txt,141,999860
1 million de pi.txt,142,999860
carree_1M.txt,142,999859
1 million de pi.txt,143,999859
carree_1M.txt,143,999858
1 million de pi.txt,144,999858
carree_1M.txt,144,999857
1 million de pi.txt,145,999857
carree_1M.txt,145,999856
1 million de pi.txt,146,999856
carree_1M.txt,146,999855
1 million de pi.txt,147,999855
carree_1M.txt,147,999854
1 million de pi.txt,148,999854
carree_1M.txt,148,999853
